file,alt,link
88x31.png,eightyeightthirty.one,https://eightyeightthirty.one/
zero-javascript.png,Proudly ZERO JavaScript!,
debian-powered.gif,debian POWERED,https://debian.org/
trans-flag.gif,Transgender pride flag,
nginx.png,nginx powered,https://nginx.org
xkcd.png,xkcd,https://xkcd.com
monero.png,I ❤️ MONERO,https://www.getmonero.org/
mspaintadventures.png,MS Paint Adventures,https://homestuck.com/
Arch.png,Arch Linux,https://archlinux.org
17776.png,17776,https://www.sbnation.com/a/17776-football
pi.png,pi agent harness,https://pi.dev/
